Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
10/20/2021,1.147,1/4/2021,,,,,,
10/21/2021,1.212,1/4/2021,,,,,,
10/22/2021,1.211,1/4/2021,,,,,,
10/25/2021,1.176,1/4/2021,,,,,,
10/26/2021,1.183,1/4/2021,,,,,,
10/27/2021,1.138,1/4/2021,,,,,,
10/28/2021,1.188,1/4/2021,,,,,,
10/29/2021,1.188,1/4/2021,,,,,,
11/1/2021,1.198,1/4/2021,,,,,,
11/2/2021,1.149,1/4/2021,,,,,,
11/3/2021,1.185,1/4/2021,,,,,,
11/4/2021,1.104,1/4/2021,,,,,,
11/5/2021,1.054,1/4/2021,,,,,,
11/8/2021,1.12,1/4/2021,,,,,,
11/9/2021,1.068,1/4/2021,,,,,,
11/10/2021,1.214,1/4/2021,,,,,,
11/11/2021,1.221,1/4/2021,,,,,,
11/12/2021,1.236,1/4/2021,,,,,,
11/15/2021,1.257,1/4/2021,,,,,,
11/16/2021,1.267,1/4/2021,,,,,,
11/17/2021,1.236,1/4/2021,,,,,,
11/18/2021,1.223,1/4/2021,,,,,,
11/19/2021,1.203,1/4/2021,,,,,,
11/22/2021,1.31,1/4/2021,,,,,,
11/23/2021,1.334,1/4/2021,,,,,,
11/24/2021,1.344,1/4/2021,,,,,,
11/26/2021,1.169,1/4/2021,,,,,,
11/29/2021,1.185,1/4/2021,,,,,,
11/30/2021,1.15,1/4/2021,,,,,,
12/1/2021,1.155,1/4/2021,,,,,,
12/2/2021,1.208,1/4/2021,,,,,,
12/3/2021,1.124,1/4/2021,,,,,,
12/6/2021,1.213,1/4/2021,,,,,,
12/7/2021,1.257,1/4/2021,,,,,,
12/8/2021,1.261,1/4/2021,,,,,,
12/10/2021,1.252,1/4/2021,,,,,,
12/13/2021,1.213,1/4/2021,,,,,,
12/14/2021,1.234,1/4/2021,,,,,,
12/15/2021,1.261,1/4/2021,,,,,,
12/16/2021,1.173,1/4/2021,,,,,,
12/17/2021,1.177,1/4/2021,,,,,,
12/20/2021,1.164,1/4/2021,,,,,,
